SERIAL,NOMBRE_PRODUCTO,SEGMENTO,PROVEEDOR,RUBRO,SUB_CATEGORIA
7592454889278,DESLER M  PED 2.5MG-5MG X 30 TAB PHARMETIQUE,FARMACIA,X,FARMACIA,RX
7592454889308,ESOZ 20MG X 28 CAP PHARMETIQUE,FARMACIA,X,FARMACIA,RX
7592454891226,OLMESARTAN MEDOXOMIL 40MG X 10 TAB LA SANTE,FARMACIA,X,FARMACIA,RX
7703763889099,OMEPRAZOL 40MG X 30 CAP LA SANTE,FARMACIA,X,FARMACIA,RX
7703763301133,CIPROFLOXACINA 500MG X 6 TAB LA SANTE,FARMACIA,X,FARMACIA,RX
7703763324019,CLOPIDOGREL 75MG X 14 TAB LA SANTE,FARMACIA,X,FARMACIA,RX
7592803000385,DIFENAC GEL 1% 30G DOLLDER,FARMACIA,X,FARMACIA,RX
7591020001328,LANOLZINC PDA 15%/11%  60G VALMORCA,FARMACIA,X,FARMACIA,RX
7591062902379,BRUGESIC 200MG X 10 COMP ELMOR,FARMACIA,X,FARMACIA,OTC
7591619520360,COROPRES H16/12.5 X 30 COMP ROEMMERS,FARMACIA,X,FARMACIA,RX
7591619520902,ABRETIA 25 (25MG) X 20CAP MEGALABS,FARMACIA,X,FARMACIA,RX
7707355052960,PROLASTAT 0.5MG X 4 TABLETAS - SIEGFRIED,FARMACIA,X,FARMACIA,RX
7593434002793,PROTEINA SOYA SABOR A CHOCOLATE LIFESYSTEM 250GR,MISCELANEOS,INTERVIT C.A,MISCELANEOS,COMPLEMENTOS DE LA SALUD
7593434002786,PROTEINA SOYA SABOR A VAINILLA LIFESYSTEM 250GR,MISCELANEOS,INTERVIT C.A,MISCELANEOS,COMPLEMENTOS DE LA SALUD
7593434002779,PROTEINA HUEVO SABOR A CHOCOLATE LIFESYSTEM 250GR,MISCELANEOS,INTERVIT C.A,MISCELANEOS,COMPLEMENTOS DE LA SALUD
7401078900057,DROSPERA X 28 COMPRIMIDOS - DALT PHARMA,FARMACIA,X,FARMACIA,RX
7590006003783,MAYONESA MAVESA 3.6KG,MISCELANEOS,"ALIMENTOS POLAR COMERCIAL, C.A.",MISCELANEOS,COMESTIBLES
7590006100024,KETCHUP PAMPERO 4.2KG,MISCELANEOS,"ALIMENTOS POLAR COMERCIAL, C.A.",MISCELANEOS,COMESTIBLES
7591821210417,ULCON 1GR/5ML SUSPENSION X 80ML - FARMA,FARMACIA,X,FARMACIA,RX
7595492000223,VENDA ELASTICA EBEN 20CMS,FARMACIA,X,FARMACIA,OTC
7591794090092,MAIZ PARA COTUFAS PANTERA 500GR,MISCELANEOS,"COMERCIALIZADORA EL VERDUGO, C.A.",MISCELANEOS,COMESTIBLES
A7707236124496,HIERRO SACARATO 100MG/5ML X 1AMP VITALIS,FARMACIA,X,FARMACIA,RX
7703763145768,SULAMP 750MG X 14 TAB PHARMATIQUE,FARMACIA,X,FARMACIA,RX
7795368002249,ACRYLARM 0.2% GEL OFTALMICO 10GR - POEN,FARMACIA,X,FARMACIA,RX
7591127713551,REFRESCO CHINOTTO 1.5LT,MISCELANEOS,"COCA COLA FEMSA DE VENEZUELA,S.A",MISCELANEOS,COMESTIBLES
7591127853387,REFRESCO FRESCOLITA SIN CALORIAS 1LT,MISCELANEOS,"COCA COLA FEMSA DE VENEZUELA,S.A",MISCELANEOS,COMESTIBLES
7591127104540,REFRESCO COCA COLA 355ML PET,MISCELANEOS,"COCA COLA FEMSA DE VENEZUELA,S.A",MISCELANEOS,COMESTIBLES
7591127713322,REFRESCO CHINOTTO SIN CALORIAS 1LT,MISCELANEOS,"COCA COLA FEMSA DE VENEZUELA,S.A",MISCELANEOS,COMESTIBLES
7591127853622,REFRESCO FRESCOLITA 2LT,MISCELANEOS,"COCA COLA FEMSA DE VENEZUELA,S.A",MISCELANEOS,COMESTIBLES
7591127363503,AGUA MINERAL NEVADA 1.5LT,MISCELANEOS,"COCA COLA FEMSA DE VENEZUELA,S.A",MISCELANEOS,COMESTIBLES
7591127363701,AGUA MINERAL NEVADA 5LT,MISCELANEOS,"COCA COLA FEMSA DE VENEZUELA,S.A",MISCELANEOS,COMESTIBLES
7594000490471,ONDANSETRON 4MG X 10 COMP KLINOS,FARMACIA,X,FARMACIA,RX
7591196004499,"DICLORET SUSP PED 1,8MG/ML 60ML OFTALMI",FARMACIA,X,FARMACIA,RX
S7709137132242,PROLARDII X 1 SOBRE 13 G - BIO NUTREC,FARMACIA,X,FARMACIA,RX
7592601100492,MULTIVIRAL X 30 CAPSULAS  SIEGFRIED,FARMACIA,X,FARMACIA,OTC
7593090000669,VITAMINA C 500MG X 30 CAPSULAS - FC PHARMA,FARMACIA,X,FARMACIA,OTC
8427030003153,ENSURE ALIMENTO EN POLVO VAINILLA 400G,MISCELANEOS,DROGUERIAS,MISCELANEOS,COMPLEMENTOS DE LA SALUD
7591821102026,KID CAL JARABE SABOR A TUTTI FRUTTI  X 180ML - FARMA,FARMACIA,X,FARMACIA,OTC
7593090001369,HYALOIDE 25MG/2.5ML X 1 JERINGA PRE. FC PHARMA,FARMACIA,X,FARMACIA,RX
A6937861391395,CLINDAMICINA 600MG/4ML X 1 AMP KMPLUS,FARMACIA,X,FARMACIA,RX
7592806141016,BACITRACINA UNG 500UI/G 15 G RONAVA,FARMACIA,X,FARMACIA,RX
7592806112047,DECOBEL SOL. INY 8MG/2ML X 1 AMP RONAVA,FARMACIA,X,FARMACIA,RX
009800895007,NUTELLA HAZELNUT SPREAD WITH COCOA 371GR,MISCELANEOS,SIN DATA,SIN DATA,SIN DATA
7592806121063,ROCARNIN SOL. ORAL 10% 120 ML - RONAVA,FARMACIA,X,FARMACIA,RX
7592433000991,CHOCO COOL EN POLVO 400G GENICA,MISCELANEOS,"GENERAL DE ALIMENTOS NISA, C.A.",MISCELANEOS,COMESTIBLES
7707236125097,MEROPENEN POLVO P/SOL INY  1GR X 1 AMP VITALIS,FARMACIA,X,FARMACIA,RX
7591031000983,REFRESCO PEPSI 1LT,MISCELANEOS,"PEPSI-COLA DE VENEZUELA, C.A",MISCELANEOS,COMESTIBLES
7594001101024,ANANTY 120MG/5ML SUSPENSION SABOR A FRESA X 120ML-PLUSANDEX,FARMACIA,X,FARMACIA,OTC
7592432901428,VITAMINA E 400 MG X 15 CAPSULAS BLANDAS - VIVAX,FARMACIA,X,FARMACIA,OTC
4104480705113,PROSPAN EXPECTORANTE 7MG/ML X 100ML KLINOS,FARMACIA,X,FARMACIA,OTC
7703763818884,VITAMINA C (TUTTIFRUTTI) 500MG X 10 TABLETAS LA SANTE,FARMACIA,X,FARMACIA,OTC
B7703763818884,VITAMINA C 500MG X 10 TABLETAS TUTTI FRUTTI -LA SANTE,FARMACIA,X,FARMACIA,OTC
7592454001786,XEROGRAX 120MG X 30 CAPSULAS-PHARMATIQUE,FARMACIA,X,FARMACIA,RX
7594001100362,TIOCHAX (TIOCOLCHICOSIDO) 4MG X 12 COMP PLUSANDEX,FARMACIA,X,FARMACIA,RX
7703332003680,HYALIX EMULGEL 60G MEDIHEALTH,MISCELANEOS,DROGUERIAS,MISCELANEOS,BELLEZA
038000138430,PRINGLES SOUR CREAM & ONION 158G,MISCELANEOS,SIN DATA,SIN DATA,SIN DATA
7703763895779,ROSUVASTATINA 20MG X 10 TAB LA SANTE,FARMACIA,X,FARMACIA,RX
7591196000644,BUDENAS ATOMIZADOR NASAL 1MG/ML 200 DOSIS OFTALMI,FARMACIA,X,FARMACIA,RX
7592601300953,FUROSEMIDA 20MG X 12 TAB MEYER,FARMACIA,X,FARMACIA,RX
7592601301059,FUROSEMIDA 40MG X 24TAB MEYER,FARMACIA,X,FARMACIA,RX
A7707236128814,DIPIRONA 1G/2ML SOL. INY (I.V /I.M) X 1AMP VITALIS,FARMACIA,X,FARMACIA,RX
7592396003688,COLADO DE PERA NATULAC 186G,MISCELANEOS,INDUSTRIAS MAROS C.A (NATULAC),MISCELANEOS,BEBE
7592396003695,COLADO DE MANZANA NATULAC 186G,MISCELANEOS,INDUSTRIAS MAROS C.A (NATULAC),MISCELANEOS,BEBE
7591112000185,COLADO POSTRE DE FRUTAS HEINZ 186GR,MISCELANEOS,SIN DATA,SIN DATA,SIN DATA
7591955001288,GULAPER JBE. 250MG/5ML 120ML MEGALABS,FARMACIA,X,FARMACIA,RX
7591585119032,RIFAMIX 550 MG  10 COMP - LETI,FARMACIA,X,FARMACIA,RX
7591062011804,KLAS 100MG/10ML X 120 JARABE - ELMOR,FARMACIA,X,FARMACIA,RX
7622201512279,MAYONESA KRAFT PREMIUM 175G,MISCELANEOS,"MONDELEZ VZ, C.A",MISCELANEOS,COMESTIBLES
A7707236124786,AMIKACINA 500MG/2ML I.M/I.V  X 1 AMP  VITALIS,FARMACIA,X,FARMACIA,RX
A7707236121822,MELOXICAM 15MG/1.5ML X 1 AMP VITALIS,FARMACIA,X,FARMACIA,RX
A7707236121594,NEOSTIGMINA METILSULFATO SOL. INY 0.5MG/ML X 1 AMP VITALIS,FARMACIA,X,FARMACIA,RX
7591164000065,GALLETAS CHARMY (CHOCOLATE) 192 GR,MISCELANEOS,"DISTRIBUIDORA UNIDA DEL CENTRO,C.A",MISCELANEOS,COMESTIBLES
7591164000058,GALLETAS CHARMY (FRESA) 192 GR,MISCELANEOS,"DISTRIBUIDORA UNIDA DEL CENTRO,C.A",MISCELANEOS,COMESTIBLES
7591164000034,GALLETAS CHARMY (MOKA) 192G,MISCELANEOS,"DISTRIBUIDORA UNIDA DEL CENTRO,C.A",MISCELANEOS,COMESTIBLES
7595481000265,BARRA DERMOLIMPIADORA NEUTRA BIOS PHARMACEUTIC 90G,MISCELANEOS,DROGUERIAS,MISCELANEOS,CUIDADO PERSONAL
7591473005034,LENTEJAS MARY (GRANOS SELECCIONADOS Y LIMPIOS) 400G,MISCELANEOS,"DISTRIBUIDORA UNIDA DEL CENTRO,C.A",MISCELANEOS,COMESTIBLES
7591473005041,ARVEJAS VERDES PARTIDAS MARY GRANOS SELECCIONADOS Y LIMPIOS 400G,MISCELANEOS,"DISTRIBUIDORA UNIDA DEL CENTRO,C.A",MISCELANEOS,COMESTIBLES
757528005047,TAKIS FUEGO 28.4G,MISCELANEOS,IMPORTADO/SAMAR,MISCELANEOS,COMESTIBLES
7707236127503,HIDROCORTISONA POLVO P/SOL INY  500MG X 1 AMP VITALIS,FARMACIA,X,FARMACIA,RX
A7597758000022,HIDROCORTISONA POLVO P/SOL.  INY 500MG X 1AMP ALESS,FARMACIA,X,FARMACIA,RX
A7597758000701,HIOSCINA BUTILBROMURO 20MG/1ML X 1 AMP ALESS,FARMACIA,X,FARMACIA,RX
A7800061000741,HALOPERIDOL 5MG/1ML X 1 AMP BIOSANO,FARMACIA,SIN DATA,SIN DATA,SIN DATA
A652931974242,MEROPENEM 500MG X 1 AMP I.V- EL MORRO,FARMACIA,SIN DATA,SIN DATA,SIN DATA
7591519317589,DIPLOZ 1MG X 30TAB MCK,FARMACIA,X,FARMACIA,RX
S7709031877546,PROCILUS D2 (UVA) X 1G X 1UND BIONUTREC,FARMACIA,X,FARMACIA,RX
03423909,HERSHEY´S COOKIES ´N´ CREME 43GR,MISCELANEOS,SIN DATA,SIN DATA,SIN DATA
7800061000529,FLUMAZENIL SOL. INY 0.5MG/5ML X 1 AMP BIOSANO,FARMACIA,X,FARMACIA,RX
7592871002212,GEL FIJADOR ROLDA ANTICASPA AZUL 250G,MISCELANEOS,"LA PASTOREÑA GROUP 2024, C.A",MISCELANEOS,CUIDADO PERSONAL
7597767000327,SUEROLITO SABOR A MANDARINA 400 ML,FARMACIA,X,FARMACIA,OTC
8691707096551,CHOCOLATE BISCOLATA MINI NIRVANA 117 GR,MISCELANEOS,"DISTRIBUIDORA GLOBAL IMPORT 77, C.A",MISCELANEOS,COMESTIBLES
7703763112869,NITAX 500MG X 6 TAB PHARMETIQUE,FARMACIA,X,FARMACIA,RX
7597641000023,SOLUMAR  DESCONGESTIONANTE 30ML DLAB,FARMACIA,X,FARMACIA,OTC
7591585215901,DERAIN CREMA 15%  15G LETI,FARMACIA,X,FARMACIA,RX
7591821210547,TONERVOL 5MG X 30 TAB FARMA,FARMACIA,X,FARMACIA,RX
7591585115911,GYNO DERAIN CREMA VAGINAL 20% X 60GR LETI,FARMACIA,X,FARMACIA,RX
7591014037692,CHICHA ESTERILIZADA EL CHICHERO PARMALAT 1 LT,MISCELANEOS,"INDUSTRIA LACTEA VENEZOLANA (INDULAC), C.A.",MISCELANEOS,COMESTIBLES
7591014011661,LECHE EN POLVO COMPLETA LA CAMPIÑA 900G,MISCELANEOS,"INDUSTRIA LACTEA VENEZOLANA (INDULAC), C.A.",MISCELANEOS,COMESTIBLES
5011831076619,CONDONES KIT FIESTA X 3UNDS DUO,MISCELANEOS,"CREACIONES Y VARIEDADES HADZAK, F.P",MISCELANEOS,CUIDADO PERSONAL
7702425809772,TOALLAS HUMEDAS C/TAPA FIBRAS NATURALES HUGGIES X 48 UNDS,MISCELANEOS,"DIMASSI, C.A.",MISCELANEOS,BEBE
7593255000169,ALGODON HIDROFILO 50GR ALGOBAP,FARMACIA,X,FARMACIA,OTC
7597830001879,JERINGA DESCARTABLE 5ML 21G X 1 1/2 X 1 UNID GROSSMED,FARMACIA,X,FARMACIA,RX
7591720029639,FLAQUITO C/AVELLANA DUO ST.MORITZ 30G,MISCELANEOS,"CHOCOLATE ST. MORITZ, C.A.",MISCELANEOS,COMESTIBLES
7591062011538,TANTUM SOL. TOPICA BUCAL 0.15% 240ML ELMOR,FARMACIA,X,FARMACIA,RX
7598484000218,FANASAL GOTAS ADU. 15 ML QUIM-FAR,FARMACIA,X,FARMACIA,OTC
7401078900019,CLIMABEL 2.5MG/2.5MG X 30 COMP DALT PHARMA,FARMACIA,X,FARMACIA,RX
7613033734441,FORMULA NAN COMFORT 400GR,MISCELANEOS,NESTLÉ VENEZUELA S.A.,MISCELANEOS,BEBE
7613036055253,FORMULA NAN HA 400GR,MISCELANEOS,NESTLÉ VENEZUELA S.A.,MISCELANEOS,BEBE
7598252101659,NIFEDIPINA 30MG X 30 TAB DISTRILAB,FARMACIA,X,FARMACIA,RX
7598252101703,RIVAROXABAN 15MG X 30 TAB DISTRILAB,FARMACIA,X,FARMACIA,RX
7598252101697,RIVAROXABAN 20MG X 30 TAB DISTRILAB,FARMACIA,X,FARMACIA,RX
